núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,tipo_veh,marca_veh,int_o_noint
219,2019,9,6,2,1,1,3,1,103,99,1,34,5,5,7,1,4,9999,99,1,1,1,48,2
220,2019,9,7,2,1,1,3,20,2001,99,1,23,3,3,5,1,5,9999,99,1,1,4,67,2
221,2019,9,9,2,1,1,3,1,101,7,1,28,4,4,6,1,2,9999,99,1,2,4,6,1
222,2019,9,22,4,3,1,3,1,101,11,1,999,16,12,18,1,3,9999,99,1,2,4,999,1
223,2019,9,6,2,1,1,3,7,701,99,1,32,5,5,7,1,1,9999,99,1,2,5,28,1
224,2019,9,6,2,1,1,3,7,701,99,1,31,5,5,7,1,1,9999,99,1,2,5,28,1
225,2019,9,6,2,1,1,3,7,701,99,2,72,13,11,15,1,8,1991,3,1,2,12,30,1
226,2019,9,6,2,1,1,3,7,701,99,2,16,2,2,4,2,8,1991,3,1,2,12,30,1
227,2019,9,6,2,1,1,3,7,701,99,1,43,7,7,9,1,8,1991,3,1,2,12,30,1
228,2019,9,16,3,2,1,3,4,406,99,2,34,5,5,7,1,2,2000,4,1,2,6,19,1
229,2019,10,15,3,2,1,4,7,707,99,1,60,11,11,13,1,8,9999,99,3,2,12,999,1
230,2019,10,15,3,2,1,4,7,707,99,1,65,12,11,14,1,8,9999,99,3,2,12,999,1
231,2019,10,15,3,2,1,4,7,707,99,1,35,6,6,8,1,8,9999,99,3,2,12,999,1
232,2019,10,15,3,2,1,4,7,707,99,1,27,4,4,6,1,8,9999,99,3,2,12,999,1
233,2019,10,15,3,2,1,4,7,707,99,2,25,4,4,6,1,8,9999,99,3,2,12,999,1
234,2019,10,15,3,2,1,4,7,707,99,1,38,6,6,8,1,8,9999,99,3,2,12,999,1
235,2019,10,15,3,2,1,4,7,707,99,1,43,7,7,9,1,8,9999,99,3,2,12,999,1
236,2019,10,15,3,2,1,4,7,707,99,1,16,2,2,4,2,8,9999,99,3,2,12,999,1
237,2019,10,15,3,2,1,4,7,707,99,1,56,10,10,12,1,8,9999,99,3,2,12,999,1
238,2019,10,15,3,2,1,4,7,707,99,2,56,10,10,12,1,8,9999,99,3,2,12,999,1
239,2019,10,15,3,2,1,4,7,707,99,2,0,1,1,1,2,8,9999,99,3,2,12,999,1
240,2019,10,21,4,3,1,4,5,501,99,1,999,16,12,18,1,99,9999,99,1,2,4,999,1
241,2019,10,21,4,3,1,4,5,501,99,1,23,3,3,5,1,99,9999,99,1,1,4,3,2
242,2019,11,9,2,1,1,5,1,101,1,1,32,5,5,7,1,5,9999,99,1,2,4,18,1
243,2019,11,11,2,1,1,5,1,107,99,2,30,5,5,7,1,99,9999,99,6,2,4,999,1
244,2019,11,8,2,1,1,5,1,102,99,1,999,16,12,18,1,6,9999,99,1,2,4,32,1
245,2019,11,17,3,2,1,5,1,101,14,1,29,4,4,6,1,1,9999,99,1,2,4,67,1
246,2019,11,0,1,1,1,5,1,115,99,1,45,8,8,10,1,4,9999,99,2,2,2,69,1
247,2019,11,7,2,1,1,5,1,117,99,1,55,10,10,12,1,99,9999,99,1,2,5,999,1
