﻿num_corre,año_ocu,día_ocu,hora_ocu,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,g_hora
126,2022,8,23,Noche,Enero,Sabado,Sacatep?quez,San Bartolom? Milpas Altas,Ignorada,Pick up,Nissan,Blanco,Ignorado,Ignorado,Colisi?n,4
127,2022,8,23,Noche,Enero,Sabado,Sacatep?quez,Antigua Guatemala,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,4
128,2022,9,0,Ma?ana,Enero,Domingo,Guatemala,Guatemala,10,Microb?s,Mazda,Azul,2012,2010-2019,Choque,1
129,2022,9,6,Ma?ana,Enero,Domingo,Guatemala,Fraijanes,Ignorada,Motocicleta,TVS Apache,Azul,Ignorado,Ignorado,Derrape,2
130,2022,9,3,Ma?ana,Enero,Domingo,Guatemala,Guatemala,7,Motocicleta,TVS Apache,Negro,Ignorado,Ignorado,Derrape,1
131,2022,9,16,Tarde,Enero,Domingo,Guatemala,Guatemala,5,Motocicleta,Yamaha,Corinto,Ignorado,Ignorado,Derrape,3
132,2022,9,20,Noche,Enero,Domingo,Guatemala,Guatemala,25,Motocicleta,Suzuki,Azul,2017,2010-2019,Derrape,4
133,2022,9,18,Noche,Enero,Domingo,Zacapa,Zacapa,Ignorada,Pick up,Isuzu,Gris,Ignorado,Ignorado,Colisi?n,4
134,2022,9,8,Ma?ana,Enero,Domingo,Izabal,Morales,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,2
135,2022,9,18,Noche,Enero,Domingo,Quich?,Sacapulas,Ignorada,Microb?s,Toyota,Blanco,2006,2000-2009,Colisi?n,4
136,2022,9,0,Ma?ana,Enero,Domingo,Santa Rosa,Cuilapa,Ignorada,Autom?vil,Hyundai,Amarillo,2007,2000-2009,Colisi?n,1
137,2022,9,1,Ma?ana,Enero,Domingo,Santa Rosa,Santa Cruz el Naranjo,Ignorada,Motocicleta,Jialing,Negro,Ignorado,Ignorado,Derrape,1
138,2022,9,1,Ma?ana,Enero,Domingo,Retalhuleu,Nuevo San Carlos,Ignorada,Autom?vil,Mitsubishi,Gris,Ignorado,Ignorado,Colisi?n,1
139,2022,9,0,Ma?ana,Enero,Domingo,Alta Verapaz,San Juan Chamelco,Ignorada,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,Colisi?n,1
140,2022,9,21,Noche,Enero,Domingo,Guatemala,Guatemala,6,Autom?vil,Mazda,Beige,2000,2000-2009,Colisi?n,4
141,2022,9,23,Noche,Enero,Domingo,Guatemala,Fraijanes,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,4
142,2022,9,2,Ma?ana,Enero,Domingo,Santa Rosa,Barberena,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,1
143,2022,9,23,Noche,Enero,Domingo,Guatemala,Guatemala,12,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,4
144,2022,9,17,Tarde,Enero,Domingo,Guatemala,Santa Catarina Pinula,5,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,3
145,2022,9,2,Ma?ana,Enero,Domingo,Santa Rosa,Barberena,Ignorada,Pick up,Toyota,Blanco,Ignorado,Ignorado,Choque,1
146,2022,10,12,Tarde,Enero,Lunes,Guatemala,Guatemala,5,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisi?n,3
147,2022,10,0,Ma?ana,Enero,Lunes,Guatemala,Amatitl?n,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,1
148,2022,10,6,Ma?ana,Enero,Lunes,Guatemala,Amatitl?n,4,Panel,Mercedes Benz,Blanco,2000,2000-2009,Colisi?n,2
149,2022,10,6,Ma?ana,Enero,Lunes,Guatemala,Amatitl?n,4,Motocicleta,Bajaj,Negro,2016,2010-2019,Colisi?n,2
150,2022,10,16,Tarde,Enero,Lunes,Guatemala,Amatitl?n,Ignorada,Cabezal,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,3
151,2022,10,15,Tarde,Enero,Lunes,Guatemala,Mixco,6,Autom?vil,Mazda,Negro,Ignorado,Ignorado,Colisi?n,3
152,2022,10,18,Noche,Enero,Lunes,Zacapa,Estanzuela,Ignorada,Motocicleta,TVS Apache,Rojo,Ignorado,Ignorado,Colisi?n,4
153,2022,10,2,Ma?ana,Enero,Lunes,Escuintla,Escuintla,1,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,Derrape,1
154,2022,10,23,Noche,Enero,Lunes,Totonicap?n,Totonicap?n,1,Camioneta,Toyota,Gris,1997,1990-1999,Colisi?n,4
155,2022,10,2,Ma?ana,Enero,Lunes,Alta Verapaz,Chisec,Ignorada,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,Colisi?n,1
156,2022,10,7,Ma?ana,Enero,Lunes,Chimaltenango,Acatenango,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,2
157,2022,10,20,Noche,Enero,Lunes,Sacatep?quez,Ciudad Vieja,Ignorada,Motocicleta,Asia Hero,Azul,Ignorado,Ignorado,Colisi?n,4
158,2022,11,19,Noche,Enero,Martes,Guatemala,Guatemala,1,Cami?n,Kia,Blanco,2018,2010-2019,Colisi?n,4
159,2022,11,20,Noche,Enero,Martes,Guatemala,Guatemala,6,Motocicleta,Bajaj,Azul,2012,2010-2019,Colisi?n,4
160,2022,11,15,Tarde,Enero,Martes,Guatemala,Guatemala,18,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,3
161,2022,11,17,Tarde,Enero,Martes,Guatemala,San Pedro Ayampuc,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,3
162,2022,11,22,Noche,Enero,Martes,Guatemala,Guatemala,10,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,4
163,2022,11,21,Noche,Enero,Martes,Guatemala,Guatemala,12,Motocicleta,Italika,Negro,2016,2010-2019,Colisi?n,4
164,2022,11,17,Tarde,Enero,Martes,Guatemala,Mixco,1,Autom?vil,Toyota,Gris,2007,2000-2009,Colisi?n,3
165,2022,11,23,Noche,Enero,Martes,Guatemala,Mixco,1,Cami?n,Hino,Rojo,1992,1990-1999,Colisi?n,4
166,2022,11,6,Ma?ana,Enero,Martes,Chiquimula,Chiquimula,Ignorada,Pick up,Toyota,Amarillo,Ignorado,Ignorado,Choque,2
167,2022,11,20,Noche,Enero,Martes,Zacapa,R?o Hondo,Ignorada,Jeep,Suzuki,Verde,2020,2020-2029,Colisi?n,4
168,2022,11,20,Noche,Enero,Martes,Retalhuleu,Champerico,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,4
169,2022,11,12,Tarde,Enero,Martes,Alta Verapaz,Tactic,Ignorada,Cami?n,Ford,Anaranjado,1995,1990-1999,Colisi?n,3
