Núm_corre,Año_ocu,Día_ocu,Hora_ocu,g_hora,g_hora_5,Mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
142,2020,9,1,1,1,1,4,1,101,10,1,31,5,5,7,1,1,1,999,99,9999,99,2
143,2020,9,20,4,3,1,4,4,406,99,1,42,7,7,9,1,1,1,999,4,9999,99,2
144,2020,10,22,4,3,1,5,1,101,12,1,34,5,5,7,9,1,4,999,99,9999,99,2
145,2020,10,7,2,1,1,5,1,115,99,1,34,5,5,7,1,1,7,30,1,1991,3,1
146,2020,10,7,2,1,1,5,1,115,99,1,34,5,5,7,1,1,4,27,4,9999,99,2
147,2020,10,18,4,3,1,5,1,115,99,1,25,4,4,6,1,1,2,48,4,2013,5,1
148,2020,10,18,4,3,1,5,1,115,99,1,999,16,12,18,1,1,4,39,3,9999,99,1
149,2020,10,20,4,3,1,5,1,116,99,1,49,8,8,10,2,1,2,10,11,1997,3,2
150,2020,10,23,4,3,1,5,1,116,99,1,35,6,6,8,1,1,1,27,4,2000,4,1
151,2020,10,23,4,3,1,5,1,116,99,1,30,5,5,7,1,1,4,6,5,9999,99,1
152,2020,10,23,4,3,1,5,1,108,99,1,999,16,12,18,9,1,4,999,99,9999,99,6
153,2020,10,11,2,1,1,5,20,2001,99,1,43,7,7,9,1,1,3,52,4,2005,4,1
154,2020,10,11,2,1,1,5,20,2001,99,2,22,3,3,5,1,1,4,67,5,2018,5,1
155,2020,10,7,2,1,1,5,5,502,99,1,65,12,11,14,1,1,1,48,1,9999,99,1
156,2020,10,7,2,1,1,5,5,502,99,1,18,2,2,4,1,1,4,999,1,9999,99,1
157,2020,10,22,4,3,1,5,5,509,99,1,19,2,2,4,9,1,4,100,8,9999,99,1
158,2020,10,22,4,3,1,5,5,509,99,1,26,4,4,6,9,1,5,17,2,9999,99,1
159,2020,10,20,4,3,1,5,12,1229,99,1,44,7,7,9,2,1,3,56,1,9999,99,1
160,2020,10,20,4,3,1,5,12,1229,99,2,999,16,12,18,1,1,2,27,2,9999,99,1
161,2020,10,20,4,3,1,5,12,1229,99,1,999,16,12,18,1,1,3,69,5,9999,99,1
162,2020,10,5,1,1,1,5,16,1601,99,1,20,3,3,5,2,1,2,52,4,2001,4,1
163,2020,10,5,1,1,1,5,16,1601,99,1,999,16,12,18,1,1,3,999,99,9999,99,1
164,2020,10,22,4,3,1,5,16,1604,99,1,32,5,5,7,2,1,1,69,2,2004,4,1
165,2020,10,22,4,3,1,5,16,1604,99,1,999,16,12,18,1,1,3,999,99,9999,99,1
166,2020,10,22,4,3,1,5,16,1604,99,1,51,9,9,11,1,1,1,69,99,9999,99,1
167,2020,10,22,4,3,1,5,15,1501,99,1,18,2,2,4,1,1,4,76,2,9999,99,1
168,2020,10,22,4,3,1,5,15,1501,99,2,24,3,3,5,1,1,4,76,3,9999,99,1
169,2020,10,19,4,3,1,5,18,1803,99,1,21,3,3,5,9,1,4,27,5,9999,99,6
170,2020,10,7,2,1,1,5,3,305,99,1,22,3,3,5,2,1,1,69,1,9999,99,3
171,2020,10,20,4,3,1,5,3,308,99,1,39,6,6,8,1,1,1,27,5,1990,3,1
172,2020,10,20,4,3,1,5,3,308,99,1,18,2,2,4,1,1,4,25,99,9999,99,1
173,2020,11,1,1,1,1,6,1,101,18,1,43,7,7,9,2,1,1,48,6,1994,3,1
174,2020,11,1,1,1,1,6,1,101,18,1,52,9,9,11,1,1,2,41,7,9999,99,1
175,2020,11,1,1,1,1,6,1,101,12,1,30,5,5,7,2,1,2,90,2,9999,99,1
176,2020,11,1,1,1,1,6,1,101,12,1,32,5,5,7,1,1,2,69,6,9999,99,1
177,2020,11,7,2,1,1,6,1,117,99,1,49,8,8,10,9,1,4,18,99,9999,99,1
178,2020,11,6,2,1,1,6,1,101,19,2,23,3,3,5,1,1,1,17,4,2014,5,1
179,2020,11,6,2,1,1,6,1,101,19,1,999,16,12,18,9,1,1,56,3,2005,4,1
180,2020,11,8,2,1,1,6,5,502,99,1,28,4,4,6,1,1,4,67,5,2017,5,1
181,2020,11,8,2,1,1,6,5,502,99,2,23,3,3,5,1,1,4,6,5,2016,5,1
182,2020,11,14,3,2,1,6,19,1904,99,1,42,7,7,9,1,1,5,26,2,2016,5,1
183,2020,11,14,3,2,1,6,19,1904,99,1,40,7,7,9,9,1,4,67,5,9999,99,1
184,2020,11,13,3,2,1,6,15,1507,99,1,35,6,6,8,1,1,1,69,4,1999,3,1
185,2020,11,13,3,2,1,6,15,1507,99,1,68,12,11,14,1,1,7,28,99,2002,4,1
186,2020,11,21,4,3,1,6,15,1501,99,2,19,2,2,4,1,1,4,67,3,9999,99,1
187,2020,11,21,4,3,1,6,15,1501,99,1,999,16,12,18,9,1,4,67,3,9999,99,1
188,2020,11,19,4,3,1,6,18,1804,99,1,40,7,7,9,9,1,4,18,99,9999,99,1
189,2020,11,1,1,1,1,6,11,1101,99,1,37,6,6,8,9,1,1,90,99,2008,4,2
190,2020,11,17,3,2,1,6,11,1101,99,2,35,6,6,8,9,1,2,27,99,2004,4,1
191,2020,11,19,4,3,1,6,1,115,99,1,38,6,6,8,9,1,3,31,2,1991,3,1
192,2020,11,7,2,1,1,6,1,114,99,1,19,2,2,4,9,1,4,6,2,2018,5,1
193,2020,11,7,2,1,1,6,1,114,99,1,23,3,3,5,9,1,2,69,2,1996,3,1
194,2020,11,20,4,3,1,6,1,105,99,1,23,3,3,5,2,1,2,27,9,2005,4,1
195,2020,11,20,4,3,1,6,1,105,99,1,21,3,3,5,2,1,4,18,5,2018,5,1
196,2020,11,15,3,2,1,6,1,101,1,1,32,5,5,7,1,1,11,999,2,9999,99,1
197,2020,11,15,3,2,1,6,1,101,1,1,999,16,12,18,1,1,3,10,3,2013,5,1
198,2020,11,19,4,3,1,6,1,110,99,1,22,3,3,5,1,1,4,54,3,9999,99,6
199,2020,11,22,4,3,1,6,2,203,99,2,22,3,3,5,1,1,4,27,1,9999,99,1
200,2020,11,22,4,3,1,6,2,203,99,2,23,3,3,5,1,1,4,67,4,9999,99,1
201,2020,12,17,3,2,1,7,1,101,1,1,25,4,4,6,1,1,4,6,1,9999,99,1
202,2020,12,17,3,2,1,7,1,101,1,1,24,3,3,5,1,1,4,27,5,9999,99,1
203,2020,12,20,4,3,1,7,1,107,99,1,16,2,2,4,1,2,4,999,5,2014,5,1
204,2020,12,20,4,3,1,7,1,107,99,1,23,3,3,5,1,1,4,32,7,2007,4,1
205,2020,12,16,3,2,1,7,1,101,13,1,30,5,5,7,2,1,12,7,1,9999,99,2
206,2020,12,21,4,3,1,7,1,101,12,1,39,6,6,8,2,1,1,48,2,2008,4,1
207,2020,12,21,4,3,1,7,1,101,12,1,47,8,8,10,1,1,1,28,4,2018,5,1
208,2020,12,21,4,3,1,7,1,101,12,1,31,5,5,7,1,1,4,27,2,9999,99,1
209,2020,12,21,4,3,1,7,1,101,12,1,21,3,3,5,1,1,4,67,1,2018,5,1
210,2020,12,1,1,1,1,7,1,115,99,1,70,13,11,15,1,1,3,69,1,1986,2,1
211,2020,12,1,1,1,1,7,1,115,99,1,23,3,3,5,2,1,4,18,5,2019,5,1
212,2020,12,6,2,1,1,7,1,115,99,1,999,16,12,18,9,1,1,999,99,9999,99,1
213,2020,12,6,2,1,1,7,1,115,99,1,35,6,6,8,9,1,4,6,5,9999,99,1
214,2020,12,7,2,1,1,7,1,114,99,1,999,16,12,18,9,1,3,999,99,9999,99,1
215,2020,12,7,2,1,1,7,1,114,99,1,39,6,6,8,1,1,1,48,4,1993,3,1
216,2020,12,1,1,1,1,7,1,115,99,1,999,16,12,18,9,1,4,999,99,9999,99,6
217,2020,12,22,4,3,1,7,1,115,99,2,23,3,3,5,1,1,2,69,4,9999,99,1
218,2020,12,22,4,3,1,7,1,115,99,1,32,5,5,7,1,1,4,5,5,9999,99,1
219,2020,12,22,4,3,1,7,1,115,99,1,26,4,4,6,9,1,4,999,99,9999,99,2
220,2020,12,5,1,1,1,7,1,110,99,1,999,16,12,18,9,1,3,69,1,9999,99,2
221,2020,12,19,4,3,1,7,1,108,99,1,999,16,12,18,9,1,4,67,5,9999,99,1
222,2020,12,19,4,3,1,7,1,108,99,1,51,9,9,11,1,1,2,27,4,2016,5,1
223,2020,12,1,1,1,1,7,22,2201,99,1,55,10,10,12,9,1,3,56,7,9999,99,3
