Núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
208,2020,14,21,4,3,1,2,1,101,7,1,16,2,2,4,2,4,999,99,9999,99,1,2,1
209,2020,14,7,2,1,1,2,21,2101,99,1,24,3,3,5,1,4,32,1,9999,99,1,2,1
210,2020,14,7,2,1,1,2,21,2101,99,2,1,1,1,1,2,4,32,1,9999,99,1,2,2
211,2020,14,7,2,1,1,2,21,2101,99,2,999,16,12,18,1,4,32,1,9999,99,1,2,2
212,2020,14,7,2,1,1,2,20,2007,99,1,32,5,5,7,1,4,999,99,9999,99,2,2,1
213,2020,14,8,2,1,1,2,16,1610,99,1,38,6,6,8,1,1,69,3,9999,99,7,2,1
214,2020,14,8,2,1,1,2,16,1610,99,1,40,7,7,9,1,1,69,3,9999,99,7,2,1
215,2020,14,8,2,1,1,2,16,1610,99,1,48,8,8,10,1,1,69,3,9999,99,7,2,1
216,2020,15,6,2,1,1,3,18,1801,99,1,38,6,6,8,1,4,67,4,2019,5,2,1,2
217,2020,15,8,2,1,1,3,5,501,99,2,42,7,7,9,1,4,999,99,9999,99,2,2,2
218,2020,15,8,2,1,1,3,5,501,99,2,11,1,1,3,2,4,999,99,9999,99,2,2,2
219,2020,15,9,2,1,1,3,1,101,1,1,37,6,6,8,1,4,67,3,2017,5,1,2,1
220,2020,15,2,1,1,1,3,1,113,99,1,31,5,5,7,1,3,56,4,2019,5,2,2,1
221,2020,15,2,1,1,1,3,1,113,99,1,45,8,8,10,1,3,56,4,2019,5,2,2,1
222,2020,15,2,1,1,1,3,1,113,99,1,27,4,4,6,1,3,56,4,2019,5,2,2,1
223,2020,15,12,3,2,1,3,1,101,7,1,20,3,3,5,1,4,6,5,9999,99,1,2,1
224,2020,15,8,2,1,1,3,5,511,99,2,999,16,12,18,1,4,32,1,2014,5,1,2,1
225,2020,15,14,3,2,1,3,6,608,99,1,999,16,12,18,1,5,17,2,1989,2,3,1,2
226,2020,15,9,2,1,1,3,12,1215,99,1,22,3,3,5,1,4,32,1,9999,99,6,2,1
227,2020,15,9,2,1,1,3,12,1215,99,1,999,16,12,18,1,4,32,1,9999,99,6,1,2
228,2020,15,15,3,2,1,3,1,108,99,1,21,3,3,5,1,4,2,1,2018,5,1,2,1
229,2020,15,17,3,2,1,3,1,108,99,2,58,10,10,12,1,2,48,4,2020,6,1,2,1
230,2020,15,17,3,2,1,3,1,108,99,1,20,3,3,5,1,4,18,2,2019,5,1,2,1
231,2020,15,3,1,1,1,3,2,201,99,1,32,5,5,7,1,1,69,2,9999,99,1,2,1
232,2020,15,3,1,1,1,3,2,201,99,1,44,7,7,9,1,6,19,99,9999,99,1,2,1
233,2020,15,19,4,3,1,3,18,1803,99,1,999,16,12,18,1,4,999,4,9999,99,1,1,2
234,2020,15,9,2,1,1,3,1,115,99,2,34,5,5,7,1,4,18,5,9999,99,1,2,1
235,2020,16,7,2,1,1,4,1,101,12,1,38,6,6,8,1,4,999,99,9999,99,1,2,1
236,2020,16,0,1,1,1,4,1,115,99,1,18,2,2,4,1,4,32,5,9999,99,1,2,1
237,2020,16,0,1,1,1,4,1,115,99,1,22,3,3,5,1,4,32,5,9999,99,1,2,1
238,2020,16,0,1,1,1,4,1,115,99,1,12,1,1,3,2,4,32,5,9999,99,1,2,1
239,2020,16,6,2,1,1,4,1,117,99,1,54,9,9,11,1,4,27,4,9999,99,1,2,1
240,2020,16,11,2,1,1,4,1,114,99,1,999,16,12,18,1,1,10,6,9999,99,1,2,1
241,2020,16,5,1,1,1,4,1,108,99,1,39,6,6,8,1,4,32,5,9999,99,1,2,1
242,2020,16,12,3,2,1,4,22,2214,99,1,49,8,8,10,1,3,69,2,9999,99,2,2,1
243,2020,16,12,3,2,1,4,22,2214,99,1,50,9,9,11,1,3,69,2,9999,99,2,2,1
244,2020,16,5,1,1,1,4,5,511,99,1,19,2,2,4,1,4,168,5,2018,5,2,1,2
245,2020,16,5,1,1,1,4,5,511,99,1,32,5,5,7,1,4,168,5,2018,5,2,2,1
246,2020,16,18,4,3,1,4,16,1602,99,1,999,16,12,18,1,1,48,4,9999,99,1,2,1
247,2020,16,18,4,3,1,4,16,1602,99,1,27,4,4,6,1,1,48,4,9999,99,1,2,1
248,2020,16,16,3,2,1,4,14,1417,99,2,61,11,11,13,1,3,69,1,9999,99,1,1,2
249,2020,16,16,3,2,1,4,14,1417,99,1,38,6,6,8,1,3,69,1,9999,99,1,2,1
250,2020,16,16,3,2,1,4,14,1417,99,2,30,5,5,7,1,3,69,1,9999,99,1,2,1
