núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
68,2018,3,8,2,1,1,3,101,1,12,1,33,5,5,7,1,4,25,5,2003,4,1,2,1
69,2018,3,9,2,1,1,3,608,6,99,1,27,4,4,6,1,1,69,11,2000,4,1,1,2
70,2018,3,21,4,3,1,3,1016,10,99,2,48,8,8,10,1,12,30,6,9999,99,3,2,1
71,2018,3,21,4,3,1,3,1016,10,99,2,38,6,6,8,1,12,30,6,9999,99,3,2,1
72,2018,3,21,4,3,1,3,1016,10,99,2,40,7,7,9,1,12,30,6,9999,99,3,2,1
73,2018,3,21,4,3,1,3,1016,10,99,2,20,3,3,5,1,12,30,6,9999,99,3,2,1
74,2018,3,21,4,3,1,3,1016,10,99,2,22,3,3,5,1,12,30,6,9999,99,3,2,1
75,2018,3,23,4,3,1,3,1701,17,99,1,37,6,6,8,1,4,32,2,9999,99,1,2,1
76,2018,3,18,4,3,1,3,1409,14,99,1,29,4,4,6,1,5,17,2,9999,99,1,2,1
77,2018,3,18,4,3,1,3,1409,14,99,1,58,10,10,12,1,3,69,9,9999,99,1,2,1
78,2018,3,10,2,1,1,3,701,7,99,2,15,2,2,4,2,3,69,11,9999,99,3,2,1
79,2018,3,14,3,2,1,3,404,4,99,1,28,4,4,6,1,4,32,1,9999,99,1,2,1
80,2018,4,13,3,2,1,4,101,1,12,1,32,5,5,7,1,4,18,1,9999,99,1,2,1
81,2018,4,22,4,3,1,4,1501,15,99,2,20,3,3,5,1,2,999,6,9999,99,1,2,2
