﻿﻿num_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint,tipo_eve_cod
2260,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2261,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2262,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2263,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2264,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2265,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2266,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2267,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2268,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2269,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2270,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2271,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2272,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2273,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2274,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Fallecido,No internado,99
2275,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Fallecido,No internado,99
